Bottom-Up Temporal Action Localization with Mutual Regularization
3C-Net: Category Count and Center Loss for Weakly-Supervised Action Localization
Weakly-supervised Action Localization with Background Modeling
Relational Prototypical Network for Weakly Supervised Temporal Action Localization
Weakly Supervised Temporal Action Localization through Contrast based Evaluation Networks
BSN
